session_round_name,event_name,experiment_no,experiment_id,coor1,coor2,color
round_1_images,experiment_vivino_31_03,experiment_no_0,106,1728,2882,red
round_1_images,experiment_vivino_31_03,experiment_no_0,112,1788,2060,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_0,109,1004,1972,purple
round_1_images,experiment_vivino_31_03,experiment_no_0,111,1015,1760,blue
round_1_images,experiment_vivino_31_03,experiment_no_0,114,526,463,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_1,113,1032,2749,gold
round_1_images,experiment_vivino_31_03,experiment_no_1,106,1769,1906,red
round_1_images,experiment_vivino_31_03,experiment_no_1,114,401,1698,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_1,110,350,1316,pink
round_1_images,experiment_vivino_31_03,experiment_no_1,44,1204,1184,yellow
round_1_images,experiment_vivino_31_03,experiment_no_2,106,2437,3260,red
round_1_images,experiment_vivino_31_03,experiment_no_2,113,1245,2550,gold
round_1_images,experiment_vivino_31_03,experiment_no_2,109,2105,1733,purple
round_1_images,experiment_vivino_31_03,experiment_no_2,44,888,1303,yellow
round_1_images,experiment_vivino_31_03,experiment_no_2,108,1633,803,orange
round_1_images,experiment_vivino_31_03,experiment_no_3,110,2220,3540,pink
round_1_images,experiment_vivino_31_03,experiment_no_3,44,2388,3402,yellow
round_1_images,experiment_vivino_31_03,experiment_no_3,109,1899,2681,purple
round_1_images,experiment_vivino_31_03,experiment_no_3,111,1861,2249,blue
round_1_images,experiment_vivino_31_03,experiment_no_3,106,1840,1326,red
round_1_images,experiment_vivino_31_03,experiment_no_4,44,1835,3110,yellow
round_1_images,experiment_vivino_31_03,experiment_no_4,109,1426,2809,purple
round_1_images,experiment_vivino_31_03,experiment_no_4,111,2160,2287,blue
round_1_images,experiment_vivino_31_03,experiment_no_4,106,1238,1393,red
round_1_images,experiment_vivino_31_03,experiment_no_4,107,1456,1012,black
round_1_images,experiment_vivino_31_03,experiment_no_5,112,1085,2492,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_5,113,1419,2370,gold
round_1_images,experiment_vivino_31_03,experiment_no_5,110,1529,1915,pink
round_1_images,experiment_vivino_31_03,experiment_no_5,107,1656,1281,black
round_1_images,experiment_vivino_31_03,experiment_no_5,44,625,727,yellow
round_1_images,experiment_vivino_31_03,experiment_no_6,111,1002,2317,blue
round_1_images,experiment_vivino_31_03,experiment_no_6,107,1019,2236,black
round_1_images,experiment_vivino_31_03,experiment_no_6,114,1117,1531,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_6,106,920,570,red
round_1_images,experiment_vivino_31_03,experiment_no_6,110,823,421,pink
round_1_images,experiment_vivino_31_03,experiment_no_7,111,660,2792,blue
round_1_images,experiment_vivino_31_03,experiment_no_7,44,720,2553,yellow
round_1_images,experiment_vivino_31_03,experiment_no_7,108,651,2190,orange
round_1_images,experiment_vivino_31_03,experiment_no_7,107,813,1984,black
round_1_images,experiment_vivino_31_03,experiment_no_7,112,1054,1887,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_8,106,503,3614,red
round_1_images,experiment_vivino_31_03,experiment_no_8,107,1227,2534,black
round_1_images,experiment_vivino_31_03,experiment_no_8,109,1323,2181,purple
round_1_images,experiment_vivino_31_03,experiment_no_8,108,1655,1868,orange
round_1_images,experiment_vivino_31_03,experiment_no_8,114,2400,900,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_9,109,705,2687,purple
round_1_images,experiment_vivino_31_03,experiment_no_9,113,1575,2669,gold
round_1_images,experiment_vivino_31_03,experiment_no_9,44,1002,2031,yellow
round_1_images,experiment_vivino_31_03,experiment_no_9,114,1436,1361,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_9,106,1848,759,red
round_1_images,experiment_vivino_31_03,experiment_no_10,109,1535,3431,purple
round_1_images,experiment_vivino_31_03,experiment_no_10,114,660,2966,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_10,106,2140,2872,red
round_1_images,experiment_vivino_31_03,experiment_no_10,107,1136,2144,black
round_1_images,experiment_vivino_31_03,experiment_no_10,112,2049,1889,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_11,44,458,2893,yellow
round_1_images,experiment_vivino_31_03,experiment_no_11,108,491,2249,orange
round_1_images,experiment_vivino_31_03,experiment_no_11,111,632,1312,blue
round_1_images,experiment_vivino_31_03,experiment_no_11,110,1044,998,pink
round_1_images,experiment_vivino_31_03,experiment_no_11,106,1956,459,red
round_1_images,experiment_vivino_31_03,experiment_no_12,44,2398,3437,yellow
round_1_images,experiment_vivino_31_03,experiment_no_12,114,1585,2209,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_12,106,2036,1525,red
round_1_images,experiment_vivino_31_03,experiment_no_12,112,1228,1431,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_12,113,572,648,gold
round_1_images,experiment_vivino_31_03,experiment_no_13,112,1246,2689,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_13,110,1319,2564,pink
round_1_images,experiment_vivino_31_03,experiment_no_13,111,1257,1259,blue
round_1_images,experiment_vivino_31_03,experiment_no_13,44,1257,1133,yellow
round_1_images,experiment_vivino_31_03,experiment_no_13,106,1060,208,red
round_1_images,experiment_vivino_31_03,experiment_no_14,109,1658,2576,purple
round_1_images,experiment_vivino_31_03,experiment_no_14,114,1566,2491,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_14,112,931,1528,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_14,107,1123,1433,black
round_1_images,experiment_vivino_31_03,experiment_no_14,113,805,1367,gold
round_1_images,experiment_vivino_31_03,experiment_no_15,108,1752,2993,orange
round_1_images,experiment_vivino_31_03,experiment_no_15,44,1721,2684,yellow
round_1_images,experiment_vivino_31_03,experiment_no_15,112,1225,2393,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_15,109,1701,1556,purple
round_1_images,experiment_vivino_31_03,experiment_no_15,114,989,915,bright-green
round_1_images,experiment_vivino_31_03,experiment_no_16,112,1317,3008,light-purple
round_1_images,experiment_vivino_31_03,experiment_no_16,44,1733,2275,yellow
round_1_images,experiment_vivino_31_03,experiment_no_16,107,1150,1867,black
round_1_images,experiment_vivino_31_03,experiment_no_16,111,894,1141,blue
round_1_images,experiment_vivino_31_03,experiment_no_16,108,1125,820,orange
round_1_images,experiment_vivino_31_03,experiment_no_17,44,2183,3170,yellow
round_1_images,experiment_vivino_31_03,experiment_no_17,109,1199,2652,purple
round_1_images,experiment_vivino_31_03,experiment_no_17,111,912,2600,blue
round_1_images,experiment_vivino_31_03,experiment_no_17,106,846,788,red
round_1_images,experiment_vivino_31_03,experiment_no_17,112,1381,717,light-purple
