Type,Producer,Variety,Vineyard,Country,Region,experiment_id,global_id,year,wine_name,wine_alcohol
Red,Château La Croix Fourney,Red Bordeaux Blend,,France,Bordeaux,0,0,2018,St. Émilion Grand Cru,14.0
Red,Pasqua,Red Blend,,Italy,Veneto,1,1,2019,Vino da Tavola,12.5
Red,Kaesler,Shiraz,,Australia,South Australia,2,2,2021,Clare Valley,13.5
Red,Tenuta Sette Ponti,SuperTuscan Blend,,Italy,Tuscany,4,4,2022,Toscana IGT,16.0
Red,Château Rocher-Gardat,Red Bordeaux Blend,,France,Bordeaux,5,5,2023,Montagne-St. Émilion,14.0
Red,Ciacci Piccolomini d'Aragona,Sangiovese,,Italy,Tuscany,6,6,2022,Brunello di Montalcino,14.0
Red,Casali del Barone,Barbera,,Italy,Piedmont,7,7,2019,Barbera d'Asti Superiore,14.65
Red,Vinicola Tombacco,Montepulciano,,Italy,Molise,8,8,2019,Biferno,14.0
Red,Bread & Butter,Pinot Noir,,USA,California,9,9,2023,California,14.0
Red,La Spinetta (Rivetti),Barbera,Cà di Pian,Italy,Piedmont,10,10,2016,Barbera d'Asti,15.0
White,Agricoltori del Geografico,Chardonnay Blend,,Italy,Tuscany,11,11,2021,Toscana IGT,14.0
Red,Grant Burge,Shiraz,,Australia,South Australia,12,12,2023,Barossa,15.5
Red,Felix Solis,Tempranillo Blend,,Spain,Spain,13,13,2023,,13.5
Red,Cantina VR,Sangiovese Blend,,Italy,Tuscany,14,14,2019,Chianti,13.5
Red,Bodegas Santa Rufina,Tempranillo,,Spain,Castilla y León,15,15,2000,Cigales,14.0
Red,Società Agricola Nativ,Aglianico,,Italy,Campania,16,16,2020,Irpinia Campi Taurasini,14.0
Red,Tenuta Giustini,Negroamaro,,Italy,Puglia,17,17,2023,Salento IGT,
Red,Feudi di San Gregorio,Aglianico,,Italy,Campania,18,18,2020,Taurasi DOCG,14.5
Red,Bodegas Vilano,Tempranillo,,Spain,Castilla y León,20,20,2022,Ribera del Duero,
Red,Bodegas Olarra,Tempranillo Blend,,Spain,La Rioja,21,21,2021,Rioja,14.7
Red,Torbreck,Shiraz Blend,,Australia,South Australia,23,23,2002,Barossa Valley,13.5
Red,Ego Bodegas,Red Blend,,Spain,Murcia,24,24,2022,Jumilla,12.5
Red,Calmel & Joseph,Red Rhone Blend,,France,Languedoc Roussillon,25,25,2022,Terrasses du Larzac,12.5
Red,Château Moulin de Blanchon,Red Bordeaux Blend,,France,Bordeaux,26,26,2023,Haut-Médoc,13.5
Red,Chaffey Bros,Grenache Blend,,Australia,South Australia,28,28,2022,Barossa Valley,
Red,Marcelo Pelleriti,Red Blend,,Argentina,Mendoza,30,30,2019,,
Red,Masca del Tacco,Primitivo,,Italy,Puglia,31,31,2023,Primitivo di Manduria,13.5
Red,Camille Cayran,Red Rhone Blend,,France,Rhône,32,32,2023,Cairanne,14.5
